epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,7461.71,0.58175,0.42292,0.92979,0.92991,0.71641,0.82236,0.59494,1.23458,1.05619,1.15368,8.70577e-05,8.70577e-05,8.70577e-05
84,7555.2,0.56652,0.41978,0.92444,0.91277,0.71534,0.82273,0.59926,1.23179,1.08882,1.15834,7.89327e-05,7.89327e-05,7.89327e-05
85,7644.61,0.55759,0.41955,0.92692,0.91256,0.72319,0.82351,0.60716,1.2273,1.10546,1.15362,7.12282e-05,7.12282e-05,7.12282e-05
86,7734.26,0.55927,0.419,0.91847,0.93632,0.71907,0.82383,0.60484,1.22639,1.10625,1.14516,6.39518e-05,6.39518e-05,6.39518e-05
87,7821.77,0.56003,0.42133,0.92615,0.92548,0.71886,0.82013,0.60589,1.22521,1.08487,1.14892,5.71106e-05,5.71106e-05,5.71106e-05
88,7909.76,0.55378,0.42225,0.9221,0.93011,0.72714,0.8179,0.60942,1.22654,1.07837,1.15067,5.07115e-05,5.07115e-05,5.07115e-05
89,7998.6,0.54222,0.40782,0.91366,0.92746,0.72529,0.8215,0.62026,1.20782,1.08082,1.14467,4.47606e-05,4.47606e-05,4.47606e-05
90,8088.16,0.54574,0.41402,0.91987,0.93527,0.72852,0.8216,0.62444,1.21078,1.08741,1.14695,3.9264e-05,3.9264e-05,3.9264e-05
91,8177.18,0.43532,0.30195,0.85516,0.92559,0.74301,0.8253,0.61675,1.22117,1.05029,1.1586,3.4227e-05,3.4227e-05,3.4227e-05
92,8266.75,0.42864,0.2968,0.8584,0.92666,0.74588,0.82165,0.61328,1.21655,1.03122,1.16529,2.96546e-05,2.96546e-05,2.96546e-05
93,8355.62,0.43384,0.29708,0.85888,0.90847,0.74444,0.82306,0.61181,1.22727,1.01785,1.17051,2.55513e-05,2.55513e-05,2.55513e-05
94,8445.73,0.42991,0.29402,0.85978,0.9254,0.74137,0.82651,0.61137,1.22424,1.01274,1.16512,2.19212e-05,2.19212e-05,2.19212e-05
95,8535.3,0.41725,0.28902,0.85524,0.9343,0.73146,0.82469,0.61408,1.2217,1.00944,1.16435,1.87678e-05,1.87678e-05,1.87678e-05
96,8624.4,0.42299,0.2938,0.85162,0.93032,0.73584,0.82488,0.61583,1.21784,1.01239,1.16124,1.60943e-05,1.60943e-05,1.60943e-05
97,8712.57,0.4274,0.29149,0.85121,0.93239,0.73445,0.82363,0.61379,1.21414,1.01126,1.15909,1.39032e-05,1.39032e-05,1.39032e-05
98,8801.53,0.4234,0.29153,0.8577,0.93479,0.73538,0.82368,0.61463,1.21397,1.01661,1.1573,1.21968e-05,1.21968e-05,1.21968e-05
99,8891.23,0.42014,0.28984,0.85751,0.94065,0.73351,0.82445,0.61513,1.21866,1.02452,1.1619,1.09768e-05,1.09768e-05,1.09768e-05
100,8981.4,0.4237,0.29169,0.85618,0.93869,0.73351,0.82631,0.61504,1.22276,1.02704,1.16154,1.02443e-05,1.02443e-05,1.02443e-05
