epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,7572.98,1.64168,3.26041,0.02514,0.74526,0.62769,0.67872,0.36706,1.68635,2.80164,0.0348,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,7750.49,1.6449,3.24459,0.02554,0.72998,0.66745,0.68802,0.34842,1.84443,2.92508,0.04052,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,7927.74,1.61779,3.14361,0.0252,0.79618,0.56882,0.66102,0.3296,1.74354,2.94729,0.03796,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,8118.12,1.63024,3.19008,0.02489,0.74609,0.60415,0.71108,0.38124,1.6887,2.64471,0.03632,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,8301.02,1.61421,3.15171,0.02464,0.74727,0.62025,0.6908,0.37822,1.70184,2.876,0.03643,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,8478.44,1.6128,3.11637,0.02451,0.70355,0.65953,0.67519,0.34284,1.76704,2.91582,0.03711,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,8653.28,1.6061,3.14339,0.0249,0.74844,0.64568,0.67815,0.35028,1.71949,2.87378,0.03662,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,8832.99,1.62612,3.16543,0.02492,0.76498,0.65156,0.70128,0.35926,1.76814,2.78078,0.03931,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,9015.64,1.61197,3.11196,0.02508,0.78937,0.63022,0.69685,0.35753,1.76295,2.76104,0.03701,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,9195.74,1.59503,2.99913,0.02422,0.70767,0.62054,0.6822,0.36064,1.73261,3.02935,0.0372,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,9377.63,1.59405,2.9955,0.02425,0.68993,0.67062,0.69561,0.39234,1.63528,2.86567,0.03419,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,9561.93,1.56659,2.94825,0.02379,0.69413,0.64429,0.69584,0.36946,1.64035,2.86176,0.03477,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,9742.76,1.59887,3.06803,0.0242,0.67576,0.63972,0.67436,0.34332,1.7588,2.8649,0.03915,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,9920.48,1.59254,2.96461,0.02407,0.70917,0.6242,0.67,0.33784,1.67019,3.01925,0.03543,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,10096.4,1.61913,3.00032,0.02451,0.70781,0.61399,0.65363,0.33496,1.80316,2.95294,0.03898,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,10290.6,1.5567,2.94266,0.02368,0.76992,0.63749,0.70363,0.36699,1.6962,2.90018,0.03603,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,10468.2,1.56559,2.95892,0.02375,0.88753,0.58635,0.69796,0.36788,1.70928,2.84104,0.03606,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,10648.3,1.54436,2.83654,0.02305,0.71335,0.62843,0.67699,0.35582,1.81709,2.74801,0.03881,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,10824.6,1.57899,2.9294,0.02318,0.81182,0.51334,0.62217,0.34106,1.69229,3.04157,0.03507,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,11008,1.53722,2.92296,0.02336,0.81252,0.64597,0.71585,0.39296,1.68199,2.68549,0.03459,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,11184.8,1.54018,2.84484,0.02301,0.80884,0.6502,0.7018,0.39013,1.60826,2.69201,0.03321,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,11366.4,1.55747,2.816,0.02294,0.77716,0.63296,0.70094,0.37676,1.70581,2.77903,0.03633,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,11542,1.49489,2.75872,0.02283,0.76683,0.59884,0.67049,0.36735,1.70067,2.90885,0.03538,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,11720.6,1.55791,2.87166,0.02355,0.84525,0.60245,0.67391,0.38145,1.74426,3.06367,0.03745,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,11897.6,1.53737,2.83952,0.0236,0.83691,0.5534,0.6841,0.39682,1.65009,2.79187,0.03556,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,12074.5,1.54291,2.74859,0.02378,0.65813,0.63857,0.68776,0.36456,1.74899,2.80352,0.03744,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,12254.9,1.54173,2.77119,0.02299,0.75953,0.62354,0.68945,0.36696,1.63465,2.89988,0.03429,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,12434.7,1.54473,2.75714,0.0231,0.7864,0.6505,0.71468,0.38076,1.66712,2.71596,0.03544,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,12612.4,1.5259,2.80725,0.02356,0.73609,0.59253,0.65325,0.36722,1.68686,2.98396,0.03658,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,12792.5,1.55179,2.69972,0.02282,0.79062,0.56093,0.64946,0.35827,1.72313,3.0853,0.03681,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,12973.8,1.50687,2.59654,0.02239,0.74246,0.58577,0.64664,0.35423,1.68407,2.83093,0.03563,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,13168.6,1.49692,2.60323,0.02267,0.74965,0.69316,0.73117,0.41007,1.6475,2.60329,0.03491,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,13348.7,1.50605,2.73339,0.023,0.68202,0.64855,0.67936,0.39843,1.70007,2.73543,0.03617,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,13529.7,1.49538,2.66677,0.02254,0.78056,0.68863,0.73333,0.42817,1.64353,2.43371,0.03467,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,13714.4,1.47338,2.59689,0.02213,0.71335,0.57335,0.65312,0.35047,1.74959,2.83084,0.03757,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
