hash,split,image_id,filename,duplicate_count
976f334a54124c98475de2fd9f1d2e37,all,4858,img_004858.jpg,2
5a7731e09cdd31b6dd22161dc92d387f,all,1182,img_001182.jpg,2
5a7731e09cdd31b6dd22161dc92d387f,all,4859,img_004859.jpg,2
4d9e9ba40cf6bafa309f9fbb6bb423b4,all,1183,img_001183.jpg,2
4d9e9ba40cf6bafa309f9fbb6bb423b4,all,4860,img_004860.jpg,2
339eaf7bd4d9e200577eaa8073526659,all,1184,img_001184.jpg,2
339eaf7bd4d9e200577eaa8073526659,all,4861,img_004861.jpg,2
3ce2591c7f8894fc8b4cf6f2b9e9094b,all,1190,img_001190.jpg,2
3ce2591c7f8894fc8b4cf6f2b9e9094b,all,4864,img_004864.jpg,2
6ab9ac32027ebb3d67771a741abdbd9a,all,1210,img_001210.jpg,2
6ab9ac32027ebb3d67771a741abdbd9a,all,4878,img_004878.jpg,2
4330179c4ce5e7f1516043c24592976d,all,1246,img_001246.jpg,2
4330179c4ce5e7f1516043c24592976d,all,4886,img_004886.jpg,2
d4ce2ae2ff69a12fed7ace6b1ca3a03f,all,1249,img_001249.jpg,2
d4ce2ae2ff69a12fed7ace6b1ca3a03f,all,4887,img_004887.jpg,2
8fe4cf6099f0dfce892f2c962f38787d,all,4935,img_004935.jpg,2
8fe4cf6099f0dfce892f2c962f38787d,all,5232,img_005232.jpg,2
4b5e8acc4527c3a3b0fc882b03074390,all,4936,img_004936.jpg,2
4b5e8acc4527c3a3b0fc882b03074390,all,5233,img_005233.jpg,2
fb5e09bed8f2ea3b9ce40a3dfdc1b4ac,all,4937,img_004937.jpg,2
fb5e09bed8f2ea3b9ce40a3dfdc1b4ac,all,5234,img_005234.jpg,2
3d5a246d9449edd8dc8a7f77b5f1ba6e,all,4938,img_004938.jpg,2
3d5a246d9449edd8dc8a7f77b5f1ba6e,all,5235,img_005235.jpg,2
061591781ed9f1b6b35d0533d07458ce,all,4939,img_004939.jpg,2
061591781ed9f1b6b35d0533d07458ce,all,5236,img_005236.jpg,2
755b4a665b596492065952a36d3e2068,all,4940,img_004940.jpg,2
755b4a665b596492065952a36d3e2068,all,5237,img_005237.jpg,2
98d1aadfce81f8db4c9659a6ad3d67e6,all,4941,img_004941.jpg,2
98d1aadfce81f8db4c9659a6ad3d67e6,all,5238,img_005238.jpg,2
32ce1a3829dbdaea1d5b4d6f3cf27318,all,4942,img_004942.jpg,2
32ce1a3829dbdaea1d5b4d6f3cf27318,all,5239,img_005239.jpg,2
cb2592d1ff611f775a99dcb3b7d22143,all,4943,img_004943.jpg,2
cb2592d1ff611f775a99dcb3b7d22143,all,5240,img_005240.jpg,2
0245cca159882ac33f8b278290493054,all,4944,img_004944.jpg,2
0245cca159882ac33f8b278290493054,all,5241,img_005241.jpg,2
b23c5b8d34e557e11af15fce21aefa99,all,4945,img_004945.jpg,2
b23c5b8d34e557e11af15fce21aefa99,all,5242,img_005242.jpg,2
d0180d109146ace4290ca012ec92da0b,all,4946,img_004946.jpg,2
d0180d109146ace4290ca012ec92da0b,all,5243,img_005243.jpg,2
db4c647c985ac7ea88a78db5a515530b,all,4947,img_004947.jpg,2
db4c647c985ac7ea88a78db5a515530b,all,5244,img_005244.jpg,2
d790867a271dec642974416b0d845a12,all,4948,img_004948.jpg,2
d790867a271dec642974416b0d845a12,all,5245,img_005245.jpg,2
6ed81c7ec9545880e9d118fd757ec882,all,4949,img_004949.jpg,2
6ed81c7ec9545880e9d118fd757ec882,all,5246,img_005246.jpg,2
369e06feae0ab1e0eaa4f2889057bc32,all,4950,img_004950.jpg,2
369e06feae0ab1e0eaa4f2889057bc32,all,5247,img_005247.jpg,2
5df17f108c8c92e011dc67766a04dde0,all,4951,img_004951.jpg,2
5df17f108c8c92e011dc67766a04dde0,all,5248,img_005248.jpg,2
878ee887ec43beac526df0b0e01e0274,all,4952,img_004952.jpg,2
878ee887ec43beac526df0b0e01e0274,all,5249,img_005249.jpg,2
deb5c92874917ef5c50b5180bf9c1427,all,4953,img_004953.jpg,2
deb5c92874917ef5c50b5180bf9c1427,all,5250,img_005250.jpg,2
